winner,opponent_1,opponent_2,community_cards,winner_card_type
"Td,Tc","Js,Ks","9h,Jd","Ts,Jc,8s,5s,Th",Four of a Kind
"Js,Jc","7d,Ad","8h,Qh","Kd,Jh,Jd,Qd,2d",Four of a Kind
"8c,8s","9d,Ad","9s,Kd","8h,8d,7d,Jd,9h",Four of a Kind
"Kd,Kh","Tc,Ac","8c,9s","4c,Ks,Kc,2c,Qd",Four of a Kind
"9h,9s","3d,Ad","6s,Ac","Td,As,9c,2d,9d",Four of a Kind
"Ts,Td","Qc,Ac","5s,Js","4c,6c,Th,Tc,7d",Four of a Kind
"Th,Td","6s,As","Qh,Ad","Qs,Ks,Tc,6h,Ts",Four of a Kind
"9d,9s","Qh,Ah","3s,As","9h,9c,6h,Kh,4h",Four of a Kind
"Qh,Qc","5h,5d","Tc,Ac","Qs,5c,As,Qd,2s",Four of a Kind
"7s,7d","Th,Ac","5h,Kh","7c,Qc,9c,7h,3c",Four of a Kind
"8h,8s","4d,Ad","Qd,Ks","8c,Td,4s,8d,Jd",Four of a Kind
"6d,6h","Js,Ks","3d,Qc","Jh,6c,6s,7s,3s",Four of a Kind
"9h,9d","6c,Ac","2c,Kh","9s,9c,6d,Tc,5c",Four of a Kind
"Qh,Kh","Ah,As","6c,9c","Ks,3s,Kd,Kc,3c",Four of a Kind
"Td,Tc","Qc,Kh","8c,8h","9c,Th,Qd,Ts,Qs",Four of a Kind
"Qs,Ks","Ah,Ad","9s,Js","Qc,8c,Kh,Qd,Qh",Four of a Kind
"Qd,Qs","Jh,Ah","2d,Ad","Qh,9d,Kh,Td,Qc",Four of a Kind
"5s,As","Td,Tc","6d,Qd","5c,5h,4s,Ts,5d",Four of a Kind
"Ts,Kd","Js,Jc","7d,8d","Th,6h,Tc,Jd,Td",Four of a Kind
"4s,As","Kd,Kh","9d,Jd","Ks,4h,4c,Tc,4d",Four of a Kind
"6c,Ac","Kd,Kh","5s,Js","As,Qd,8d,Ah,Ad",Four of a Kind
"Js,Ks","9c,As","4d,Jd","7s,Ts,6s,9s,Qs",Straight Flush
"6c,6h","7d,Ad","Td,Ks","7s,5c,6s,7c,6d",Four of a Kind
"Ts,Qs","4s,As","9c,Jc","9s,Js,8s,5h,Jd",Straight Flush
"8c,8s","4s,As","5c,Kc","Ah,Ad,8h,8d,Js",Four of a Kind
"Qs,Ks","Ah,Ad","9s,Qd","Kh,Qc,Kd,Jh,Kc",Four of a Kind
"Js,Ks","Ah,As","8d,9d","Ac,Kd,Kc,Kh,7d",Four of a Kind
"Td,Tc","9d,Kd","9s,Ks","Qd,Ts,2d,Jh,Th",Four of a Kind
"5c,Ac","Qs,Qd","7h,Qh","Js,Ad,As,Ah,Ts",Four of a Kind
"Ts,Ah","Qs,Qd","4d,Jd","Js,Ad,As,6d,Ac",Four of a Kind
"Js,Jh","6s,As","8c,Tc","Ts,Ks,Qs,9s,7h",Straight Flush
"Th,Td","Jc,Js","3h,Ah","8d,Qd,8h,Jd,9d",Straight Flush
"Qh,As","Kd,Kc","Ts,Ks","Qc,Kh,Qd,Qs,Ad",Four of a Kind
"5h,5d","Jh,Qh","4s,Qs","Qc,5c,Qd,5s,Tc",Four of a Kind
"9d,Ad","Js,Jc","7s,9s","Ah,8c,Ac,As,5s",Four of a Kind
"Js,Ks","As,Ah","6c,9c","Kd,3s,Jc,Jd,Jh",Four of a Kind
"8h,Kh","Js,Jc","Tc,Qc","Ts,Kd,Ks,Kc,3c",Four of a Kind
"9h,9d","Qs,Ks","Th,Ah","9c,Qh,8h,Qc,9s",Four of a Kind
"Ts,Kd","Ah,As","7d,8d","Ks,Kc,Qc,Kh,Tc",Four of a Kind
"Tc,Ac","Qd,Qc","8d,Kd","3s,Th,Td,4c,Ts",Four of a Kind
"Th,Kc","Jc,Js","4c,4h","Kd,7s,5h,Ks,Kh",Four of a Kind
"7d,Ah","Qd,Qs","8s,Jc","Jd,7c,7s,7h,9s",Four of a Kind
"Tc,Ad","Ks,Kh","7s,As","5c,6c,Ts,Td,Th",Four of a Kind
"Js,Ks","Ah,As","8d,9d","Kd,Jc,Jh,Jd,4d",Four of a Kind
"9d,Kd","4d,Ad","8h,Tc","Kh,8d,Td,Jd,Qd",Straight Flush
"8h,Ah","Td,Tc","7c,Jc","3c,Ad,Ac,As,7h",Four of a Kind
"5c,Ac","Qs,Qd","3c,Kh","3s,7h,5s,5d,5h",Four of a Kind
"3s,As","Js,Jc","7c,Kc","6d,Td,Ac,Ah,Ad",Four of a Kind
"9d,Ad","Td,Tc","8s,Ts","5s,9h,9s,6s,9c",Four of a Kind
"5s,As","Qd,Qc","3h,Qh","Tc,6c,5d,5c,5h",Four of a Kind
"Js,Ad","Kd,Kc","3d,Qd","2d,Jc,Jd,Jh,8c",Four of a Kind
"8h,Kh","Js,Jc","9c,Ts","8c,8s,8d,4s,4h",Four of a Kind
"Qs,Ks","Jc,Js","4d,Ah","6h,Qd,Qh,Qc,7d",Four of a Kind
"Qh,Kh","9s,9d","Jd,Ac","3c,Qd,6s,Qs,Qc",Four of a Kind
"7d,Ad","Qs,Qd","3h,Kh","Th,6c,7c,7h,7s",Four of a Kind
"Kh,As","Th,Td","7s,Js","5c,Ks,Kd,8c,Kc",Four of a Kind
"Qc,Kh","Td,Tc","2c,Ac","Qh,8c,Qs,Qd,5s",Four of a Kind
"Ks,As","Kd,Kh","5s,Js","2d,Ah,Ad,Ac,6s",Four of a Kind
"Jc,Ad","Th,Td","Qc,Kd","6s,2s,Jd,Js,Jh",Four of a Kind
"Td,Qd","Kh,As","5c,Qs","Jd,Kd,Ad,4h,9h",Royal Flush
"8h,Ah","9s,9d","9c,Ac","8s,2c,7c,8d,8c",Four of a Kind
"Js,Ac","Td,Tc","9s,Qd","6d,9d,As,Ad,Ah",Four of a Kind
"8h,Kh","9h,9c","Jc,Qc","8s,2c,8c,8d,5h",Four of a Kind
"8h,Kh","9s,9d","4h,4d","8d,8s,8c,5c,6d",Four of a Kind
"Jd,Ad","9h,9d","3c,3h","Jc,4d,4s,Js,Jh",Four of a Kind
"7d,Ad","Js,Jc","2s,Ah","Tc,7s,7c,2h,7h",Four of a Kind
"Jd,Ad","8c,8d","8s,9s","5c,4s,Ac,Ah,As",Four of a Kind
"9h,Ad","8c,8s","6c,Kd","7c,9s,9d,9c,2h",Four of a Kind
"9h,Kh","7d,7c","8c,Qh","Kd,Kc,4c,3d,Ks",Four of a Kind
"Jc,Kd","8s,8c","3c,3h","Jh,4c,Js,Jd,3s",Four of a Kind
"Js,Ac","9s,9d","5c,Kc","As,Ad,Ah,6s,8h",Four of a Kind
"9h,Ah","Td,Th","Js,Ks","Ad,Ac,6h,4s,As",Four of a Kind
"Td,Tc","Ah,As","8h,Ks","Ts,Th,5c,4d,Jc",Four of a Kind
"Qh,Kh","9d,Ad","6h,Jh","Qd,Qs,Qc,Ac,As",Four of a Kind
"Qd,Qs","As,Ad","9c,Ts","5c,8s,2s,Qh,Qc",Four of a Kind
"6d,Ad","8c,8h","3c,Kh","6c,2h,5h,6s,6h",Four of a Kind
"Js,Jc","Ah,As","8c,Qs","3s,Jd,7d,Kh,Jh",Four of a Kind
"4s,As","Jh,Qh","5h,Ah","Qc,4d,Qs,4h,4c",Four of a Kind
"Jh,Ah","7s,7c","2s,Qs","2d,Js,Jd,Jc,5d",Four of a Kind
"Js,Jc","Ah,As","6d,6c","2c,Jh,4c,Ks,Jd",Four of a Kind
"8c,8s","Ah,As","Th,Jd","8d,Tc,5c,3s,8h",Four of a Kind
"Kc,Ks","Qs,Qd","Th,Ah","Ts,Kh,8h,Kd,2s",Four of a Kind
"Jh,Ah","6d,6h","Qc,Kh","Ad,3d,5c,As,Ac",Four of a Kind
"7h,7c","Kc,Ac","4d,4h","As,7s,9c,3h,7d",Four of a Kind
"Qd,Qc","Kd,Kh","Th,Jh","4c,9c,7h,Qh,Qs",Four of a Kind
"9s,9d","Ks,As","4h,4d","9c,Ad,9h,3h,8d",Four of a Kind
"As,Ah","Jc,Js","8s,Jd","7s,2c,6h,Ac,Ad",Four of a Kind
"Tc,Ac","Js,Ks","6h,Jh","Jd,Kc,Jc,Qs,Qc",Royal Flush
"8c,8s","Ah,As","6c,Kd","Js,8d,3s,8h,Ks",Four of a Kind
"9s,9d","Qd,Ad","3h,Qh","9h,Ac,3d,9c,8d",Four of a Kind
"Kd,Ac","5h,5d","6c,9c","As,Ah,Ad,4h,4d",Four of a Kind
"Th,Td","Ah,Ad","7h,9h","Tc,3d,Ts,4d,8c",Four of a Kind
"Kd,Kh","Js,Jc","Tc,Qc","9c,5s,Kc,Ks,6h",Four of a Kind
"9s,9d","Qd,Ad","Js,Qh","As,9c,7d,4s,9h",Four of a Kind
"7s,7c","Js,Ac","4h,Kd","7h,8c,Jc,7d,Ah",Four of a Kind
"Jh,Qh","7c,7s","Jd,Ks","7d,Kh,Ah,Th,8s",Royal Flush
"Jc,Js","Td,Qd","3h,Qs","Jh,3d,Jd,Qh,5c",Four of a Kind
"7d,Ad","Td,Tc","3c,Jc","As,Th,4c,Ah,Ac",Four of a Kind
"Js,Jh","Ah,Ad","9s,Qd","Jc,Jd,2s,8h,Td",Four of a Kind
"Td,Tc","Qd,Ad","3h,3c","Ts,Th,5d,6d,Ah",Four of a Kind
"5c,5h","Qs,Qc","Td,Ac","Tc,5d,5s,3d,9h",Four of a Kind
"Ts,Td","As,Ad","7d,8d","2s,Th,6d,Tc,4s",Four of a Kind
"Jc,Js","Qh,Qc","5s,5d","Jh,6c,9h,3s,Jd",Four of a Kind
"Qd,Qc","Ks,As","4h,Kd","Th,Qs,Ad,Qh,4s",Four of a Kind
"Th,Td","Qs,Qd","6h,As","Ts,Tc,5h,2s,9h",Four of a Kind
"Qh,Ah","Ad,Ac","4s,Js","Kh,7s,Jh,Th,Qd",Royal Flush
"Kd,Kh","Ah,As","9h,Th","Ts,Qc,5d,Kc,Ks",Four of a Kind
"Qs,Qc","Kc,Ac","8h,9h","4s,Jh,Ks,Qd,Qh",Four of a Kind
"Kd,Kh","7d,Ad","Ts,Qc","7c,Kc,Ks,5s,7s",Four of a Kind
"8s,8c","Qs,Ks","2s,Js","Jc,8h,Kd,8d,6s",Four of a Kind
"8c,8s","Jh,Ah","5h,Qh","7s,8h,Ad,Js,8d",Four of a Kind
"As,Ah","Td,Kd","2c,2h","Ad,9s,4d,Ac,Kh",Four of a Kind
"9s,As","8c,8d","2h,Jh","8s,Ah,Ad,5c,Ac",Four of a Kind
"9s,9d","Js,Ks","4d,Kd","Kh,9c,4s,9h,3c",Four of a Kind
"6h,6s","9c,Kc","5h,Ac","6c,Ks,9h,4s,6d",Four of a Kind
"9s,9d","Js,Kc","7h,Ad","2c,9c,Jd,9h,6d",Four of a Kind
"8h,Kh","Kc,Ac","2d,Jd","Ah,8s,6c,8c,8d",Four of a Kind
"As,Ah","Th,Kc","3h,Jh","6c,Ad,Ts,Td,Ac",Four of a Kind
"5h,5d","Kd,Kh","3h,Qh","6d,2d,5c,Js,5s",Four of a Kind
"Qd,Ad","8c,8d","Tc,Ac","Qs,8h,5s,Qh,Qc",Four of a Kind
"Td,Tc","Ah,As","6s,Ad","7d,Th,6d,Ts,Qc",Four of a Kind
"9d,Kd","7s,7c","7h,Jc","9h,4h,9c,9s,7d",Four of a Kind
"Td,Tc","4s,As","7h,Ad","3c,4h,Th,Ts,4c",Four of a Kind
"8c,8s","Js,Jc","2s,Qs","4s,8d,3h,8h,9s",Four of a Kind
"9h,Ad","Kd,Ac","3s,Ks","Kh,9d,9c,2h,9s",Four of a Kind
"8c,8s","Kd,Kh","5c,Kc","8d,7s,8h,3s,Jc",Four of a Kind
"8s,8c","Ks,As","4d,Jd","2s,Kd,Qc,8h,8d",Four of a Kind
"Th,Td","Qc,Kh","6h,As","Qs,6d,Ts,Tc,4h",Four of a Kind
"5h,5d","Ah,As","4h,Kd","7h,5s,9h,5c,Ks",Four of a Kind
"Ks,As","8c,8s","5h,Th","Kd,2s,Ts,Js,Qs",Royal Flush
"Kd,Kc","Jd,Ad","5c,Qs","Ah,2c,6s,Kh,Ks",Four of a Kind
"8c,8h","Kh,As","2h,Qh","8d,Td,Ah,8s,6h",Four of a Kind
"Qd,Qc","9d,Kd","5c,Kc","9h,3c,Qs,7d,Qh",Four of a Kind
"5s,5d","Kd,Ac","6c,Qh","Jd,5h,As,5c,Qs",Four of a Kind
"Td,Th","Js,Kd","8d,Jd","6s,5d,Jc,Ts,Tc",Four of a Kind
"7d,7c","Qd,Qs","3c,Qc","Jh,3s,4d,7h,7s",Four of a Kind
"As,Ad","8d,Kd","7d,Ks","3d,Kc,Ah,6h,Ac",Four of a Kind
"6d,6h","8h,Ah","9s,Qs","As,5h,6s,8c,6c",Four of a Kind
"Td,Ah","7c,Ad","3d,Kh","Th,As,Tc,Ts,8h",Four of a Kind
"Ts,Ah","3d,Ad","9s,Jd","2c,Th,As,Td,Tc",Four of a Kind
"9s,9d","Qh,Ac","2s,Ah","6d,As,7s,9c,9h",Four of a Kind
"Qs,Qc","9c,Ad","7s,Jh","Qh,Ac,4d,Qd,6s",Four of a Kind
"3h,Ah","Qd,Kd","8h,9h","Ad,Kc,As,3c,Ac",Four of a Kind
"6h,6c","7d,Ad","3s,3h","Ac,7s,6d,6s,5d",Four of a Kind
"Th,Kc","Qh,As","7d,9d","Td,Ad,Ts,Tc,3d",Four of a Kind
"5h,5d","Qd,Qc","4h,4d","6h,5c,9d,5s,Jh",Four of a Kind
"9c,Kc","6h,6s","4d,Qd","Ks,6c,3c,Kd,Kh",Four of a Kind
"Tc,Ac","5s,As","7h,Qc","Ts,Td,Ad,4s,Th",Four of a Kind
"Js,Jh","Qs,Qd","5d,Ad","Jc,6h,Jd,4d,7s",Four of a Kind
"8s,8c","Th,Td","6s,6h","3c,8h,2d,8d,7s",Four of a Kind
"Th,Td","Qd,Ad","7s,Ks","2d,Qh,Tc,4d,Ts",Four of a Kind
"Qs,Qd","Td,Ad","9d,Kh","6s,Qh,Ah,3c,Qc",Four of a Kind
"7s,7c","Ah,As","Qc,Kh","Qd,6d,7h,7d,Ks",Four of a Kind
"6d,6h","Td,Ah","Kc,Ac","5h,Ad,6c,6s,2h",Four of a Kind
"4s,As","Js,Ks","7d,8d","4c,Kh,4d,9h,4h",Four of a Kind
"3d,Ad","Jc,Kd","8s,9h","As,Ks,6d,Ac,Ah",Four of a Kind
"Ts,Td","Qd,Kh","4c,Ad","Tc,Kd,6d,Jc,Th",Four of a Kind
"8c,8h","9d,9s","6s,Ah","Jc,Qd,8d,Th,8s",Four of a Kind
"Qd,Ad","9d,Kd","9h,Jd","Kc,As,Js,Ac,Ah",Four of a Kind
"4s,As","Td,Kd","7s,9s","Kh,Ah,Ac,9c,Ad",Four of a Kind
"Qh,Kh","Js,Ks","8s,Ts","Qs,Jh,Qd,Qc,6d",Four of a Kind
"8h,8s","Ts,Qs","Jc,Kd","8c,Td,4s,2h,8d",Four of a Kind
"Js,Jc","Qd,Qc","6d,6c","9c,Jd,Jh,4s,7h",Four of a Kind
"6d,Ad","Ts,As","9d,Qd","6s,6h,Ah,6c,Kc",Four of a Kind
"4s,As","Qc,Kh","2c,2h","Ah,Kc,Ad,Jh,Ac",Four of a Kind
"7s,7c","Qd,Ad","9c,Ts","7d,5h,As,8c,7h",Four of a Kind
"As,Ah","Kd,Kc","5s,Kh","Ac,6c,Qd,7c,Ad",Four of a Kind
"7s,7c","Jh,Ah","2c,Kh","8c,7h,2h,7d,Jd",Four of a Kind
"Td,Tc","Js,Ks","9h,Jd","9s,7c,Ts,8h,Th",Four of a Kind
"8c,8h","Ad,Ac","3s,As","Jc,4h,7c,8s,8d",Four of a Kind
"8c,8d","Jc,Js","9c,Tc","7h,3c,4c,8s,8h",Four of a Kind
"Kd,Ac","Qh,Kh","Th,Jd","As,Ad,Qc,7s,Ah",Four of a Kind
"6c,6h","Td,Ad","3h,Jh","6d,Tc,2s,4c,6s",Four of a Kind
"8h,8s","Jd,As","6d,9d","5h,Ad,8d,8c,Ts",Four of a Kind
"Qd,Qs","Jd,Jc","8s,Js","4s,9h,Qc,Qh,5h",Four of a Kind
"Ah,As","Js,Jc","9h,Jd","8h,Ad,5s,2c,Ac",Four of a Kind
"8c,8s","Qd,Ad","Th,Jd","8h,4h,Qs,8d,7c",Four of a Kind
"Td,Tc","Ah,As","4h,Kd","4s,Ts,Th,3c,Js",Four of a Kind
"Js,Ks","Th,Kc","9s,Qh","Td,Jc,Jh,5c,Jd",Four of a Kind
"7s,7c","Kd,Ac","8h,Qh","7h,5s,Ks,7d,4d",Four of a Kind
"5s,5d","Ah,Ad","9s,Qd","4c,Kc,5c,5h,8d",Four of a Kind
"5h,5d","Kd,Kh","3s,As","5s,Ts,Jh,5c,Qc",Four of a Kind
"Jh,Qh","Ts,Kd","3d,Kh","Th,Js,Jd,Jc,9c",Four of a Kind
"9h,9d","Qs,Ah","Js,As","Ac,8s,9c,9s,3s",Four of a Kind
"Qs,Qd","Js,Jh","7s,7h","8s,9s,Qh,Qc,6d",Four of a Kind
"6c,6h","5s,5d","8h,Tc","6d,4c,3d,7s,6s",Four of a Kind
"As,Ad","Ts,Td","Jc,Kd","Ac,5c,Ah,6h,8s",Four of a Kind
"9d,Ad","Js,Ac","5h,Th","9s,Jh,6c,9h,9c",Four of a Kind
"5h,5d","Td,Ah","7h,Ad","Th,9s,5s,5c,6d",Four of a Kind
"6c,6h","Qs,Qd","4h,Ah","Js,6s,9d,8h,6d",Four of a Kind
"8c,8d","9d,Kd","6d,Qd","8h,Kc,8s,9h,Td",Four of a Kind
"5s,5d","Qc,Kh","2c,Kc","5c,Ks,3c,6h,5h",Four of a Kind
"Jh,Qh","Td,Kd","6s,Ts","4h,Qc,Kc,Qs,Qd",Four of a Kind
"Qd,Qc","Js,Ks","6c,Kd","Jh,Qh,Qs,5s,Td",Four of a Kind
"8s,8c","Ah,Ad","3c,Kh","8h,Jh,8d,4h,2c",Four of a Kind
"7c,7s","Kd,Ac","6h,Jd","7h,Tc,Ah,7d,8s",Four of a Kind
"Kd,Kh","Qd,Qc","8h,Ah","6s,Ks,7d,3s,Kc",Four of a Kind
"Th,Td","Kc,Ks","6d,Jd","6h,Jc,Tc,9d,Ts",Four of a Kind
"Ts,Qs","Kc,Ks","9d,Kh","8s,9s,Js,Ah,Ac",Straight Flush
"Ts,As","8h,Kh","9c,Kc","7d,Ac,8s,Ad,Ah",Four of a Kind
"8c,8s","Ah,As","Kc,Ac","9s,6h,Qd,8d,8h",Four of a Kind
"8c,8s","9d,Kd","Kc,Ah","9c,4h,3h,8h,8d",Four of a Kind
"5h,5d","Qd,Kh","7h,Th","Kc,5c,Qs,5s,7c",Four of a Kind
"Th,Qh","8h,Kh","5s,Js","Ts,2h,8s,Td,Tc",Four of a Kind
"Kd,Kh","7s,7c","9d,Ah","5c,Kc,Ks,3d,6d",Four of a Kind
"Td,Tc","Qh,Ac","8h,Ah","3s,As,6d,Th,Ts",Four of a Kind
"Js,Jh","8d,Ad","4s,Qs","As,Jc,5s,Jd,2c",Four of a Kind
"9d,Kd","Kc,Ks","5h,Th","9s,9h,9c,Ah,4d",Four of a Kind
"Kc,Ac","8h,Kh","9c,Ks","8s,As,Ad,Ah,2d",Four of a Kind
"Td,Ad","Qs,Qd","7c,Ac","6d,9d,8d,Qh,7d",Straight Flush
"Jd,Ad","Js,Jh","9s,Qd","As,7h,Qs,Ac,Ah",Four of a Kind
"7c,7s","3d,Ad","9d,Kh","As,7d,4h,Ts,7h",Four of a Kind
"8c,8s","Kd,Kh","6d,6c","2c,8h,Jh,8d,2d",Four of a Kind
"8s,8c","Qs,Ah","3h,Qd","8h,8d,Qh,9h,3d",Four of a Kind
"6d,6h","Td,Tc","8h,Ah","6s,8c,6c,5h,2s",Four of a Kind
"5h,5d","Ts,Kd","6s,As","Tc,6d,5c,5s,9d",Four of a Kind
"Jc,Qc","Qd,Kh","8c,Qh","Kc,Tc,9d,5s,9c",Straight Flush
"7s,7c","5s,As","2s,Ah","Ac,7h,7d,Ks,8d",Four of a Kind
"Jd,Jc","Qh,Ah","2s,As","Qs,Js,8s,Jh,2c",Four of a Kind
"Qd,Qc","3s,As","6h,Kh","2d,9s,Ah,Qs,Qh",Four of a Kind
"5h,5d","Js,Ks","4d,Kd","5c,Jh,5s,6d,9d",Four of a Kind
"Js,Jc","Ts,Kd","4c,Qd","6c,Jd,Td,7d,Jh",Four of a Kind
"8s,8c","Qs,Qd","7s,7h","6c,8h,Kd,8d,Kh",Four of a Kind
"Td,Th","Kd,Kc","Kh,As","5s,Tc,7d,Ts,7h",Four of a Kind
"Js,Jc","Kd,Kh","9s,Ks","8s,5h,Jh,Jd,4h",Four of a Kind
"8c,8s","7c,Ad","3d,Kh","3c,Ah,8h,9c,8d",Four of a Kind
"Js,Jc","Kd,Kh","2s,Qs","8c,Jd,4c,Jh,8h",Four of a Kind
"Ks,As","Js,Jc","7d,Qd","Kd,Kh,Qh,Kc,9h",Four of a Kind
"Js,Jc","Kd,Ac","Ts,Qc","Jd,7c,Kh,Jh,Qh",Four of a Kind
"Qs,Qc","Ad,Ac","3c,Kh","Qd,Qh,6d,5c,8d",Four of a Kind
"Kc,Ac","Jd,Jc","5c,Tc","3h,Qs,Kh,Kd,Ks",Four of a Kind
"6c,Ac","Jd,Jc","8s,Tc","Qc,Ah,Ad,As,Th",Four of a Kind
"Ah,Ad","Qs,Qd","2s,Kc","6h,Ac,4c,4h,As",Four of a Kind
"5h,5d","Qh,Ac","6h,Kh","Td,Ad,5s,5c,9d",Four of a Kind
"Jh,Qh","Qs,Qd","8d,Jd","Js,Ks,Kh,Th,Ah",Royal Flush
"7c,As","Js,Jh","Td,Ks","2d,Ah,Ad,Ac,Kd",Four of a Kind
"Js,Jc","Ah,As","5h,Qh","5s,9c,Jd,9d,Jh",Four of a Kind
"Td,Tc","9h,Ad","4s,As","Th,4d,Ac,Qs,Ts",Four of a Kind
"7s,7c","Kd,Kh","9s,Ks","3s,7h,6s,7d,9d",Four of a Kind
"8h,Ah","7c,Ad","2c,2h","3c,8d,7d,8s,8c",Four of a Kind
"Qd,Qc","Js,Ks","6c,Kd","As,Qh,Ac,Qs,5s",Four of a Kind
"Js,Jh","Ks,As","4s,Qs","Kd,Jd,Qd,Jc,4c",Four of a Kind
"9h,9d","Jc,Qc","3c,Qd","Jd,Ts,9s,9c,4c",Four of a Kind
"6d,6c","Qd,Qs","5s,Ts","6h,Ah,Ac,6s,5d",Four of a Kind
"9s,9d","Td,Tc","4c,Qd","6d,9c,Kc,Kd,9h",Four of a Kind
"Js,Kc","Qd,Qc","5h,Qh","8h,Jc,Kd,Jd,Jh",Four of a Kind
"Js,Jc","Td,Tc","5s,Ah","7d,Jh,3d,Jd,4h",Four of a Kind
"8c,8s","Qd,Qc","Qh,Kh","9s,3h,8h,9c,8d",Four of a Kind
"5c,5h","Kd,Kc","Jc,Ad","8c,5d,Th,Ts,5s",Four of a Kind
"Js,Jc","7c,Ad","Td,Kd","7d,Jd,5h,2d,Jh",Four of a Kind
"9s,9d","Qh,Ac","7s,As","9h,Kc,9c,Ad,7d",Four of a Kind
"5s,5d","Qc,Kh","3s,As","Qs,5h,5c,8h,Jh",Four of a Kind
"Kd,Kh","Jh,Qh","7d,8d","2s,9c,Jc,Kc,Ks",Four of a Kind
"Ad,Ac","Js,Kd","7c,Qs","9c,As,Jc,9d,Ah",Four of a Kind
"Th,Ah","9h,9d","6s,Js","7h,Ad,As,Ac,Jd",Four of a Kind
"Qd,Qs","8h,8s","Tc,Js","Qh,3s,5h,Qc,4s",Four of a Kind
"9h,9d","Ah,Ad","Td,Ks","Qd,6c,9s,8c,9c",Four of a Kind
"Jh,Ah","Js,Ks","8c,Qs","Kh,Th,Qh,9d,Td",Royal Flush
"8c,8s","Td,Tc","6c,Qd","8h,3c,6d,5s,8d",Four of a Kind
"7s,7c","9h,Ad","9d,Ah","4s,9c,7h,8s,7d",Four of a Kind
"6d,6h","Td,Tc","Ts,Kh","8h,5d,3h,6c,6s",Four of a Kind
"Qd,Qc","8c,8s","9d,Jd","Qs,Qh,5h,2c,6h",Four of a Kind
"Th,Qh","Js,Jc","9s,Ks","Kc,7c,Qc,Qd,Qs",Four of a Kind
"8c,8d","6s,As","5d,Td","Ac,3s,8h,8s,7h",Four of a Kind
"7s,7c","Qd,Qc","Jd,Kd","2d,5c,7h,5h,7d",Four of a Kind
"5s,5d","7c,As","2d,Qd","5h,Ac,Jd,5c,Ts",Four of a Kind
"8s,8c","Js,Ah","4s,Qs","4h,Jh,8h,8d,7d",Four of a Kind
"9s,9d","8h,Ah","Ts,Qc","6c,9h,Ad,Js,9c",Four of a Kind
"Kd,Ac","8c,8s","7h,Tc","Ah,Ad,Jd,2s,As",Four of a Kind
"7c,As","Js,Jh","4c,Qh","Ad,Ac,Ah,Qs,3d",Four of a Kind
"Th,Qh","Td,Tc","9s,Kd","9h,8h,5s,Jh,Js",Straight Flush
"Jh,Qh","8c,8s","2c,2h","Jd,Qc,Js,3c,Jc",Four of a Kind
"5h,5d","Kd,Kh","7h,Kc","5s,5c,Qd,3s,3c",Four of a Kind
"Js,Jc","Qd,Qc","Qh,Kh","Jd,4c,Kd,Jh,Ks",Four of a Kind
"Ad,Ac","Tc,Kh","6h,Th","As,Ah,9c,Ts,5s",Four of a Kind
"Td,Tc","9h,Ad","8c,9s","Ts,As,2s,4d,Th",Four of a Kind
"Js,Kd","6h,6s","7s,Jh","Ks,Kc,4d,Kh,Ah",Four of a Kind
"Js,Jc","5s,As","6d,6c","4h,Jh,Ad,Jd,Qc",Four of a Kind
"7d,7c","Jd,As","4h,Jh","Ac,6h,7s,Kc,7h",Four of a Kind
"Th,Td","Kc,Ks","Js,As","Ts,3d,Qd,Tc,3s",Four of a Kind
"Tc,Ad","9h,9d","6h,Kh","8d,Ac,Ah,As,Qd",Four of a Kind
"6d,6h","Ah,As","Td,Kd","8c,7d,6c,2c,6s",Four of a Kind
"9s,9d","5s,As","6c,Qd","2s,9h,Ah,7c,9c",Four of a Kind
"Ah,Ad","Js,Jh","5s,Qd","Ac,7d,9d,9c,As",Four of a Kind
"9d,9s","8d,Ah","3h,Jh","Ac,9h,9c,5d,4c",Four of a Kind
"8c,8d","Th,Td","4d,Kd","5s,3s,8h,7c,8s",Four of a Kind
"5h,5d","Kd,Kc","8h,Qh","5c,Qd,Tc,5s,Th",Four of a Kind
"5h,5d","8c,As","4h,Kd","Qd,Ah,5s,5c,9h",Four of a Kind
"7s,7c","Kd,Ac","4s,Ah","Th,7h,Kc,7d,8h",Four of a Kind
"Kc,Ks","6s,As","3h,Jh","Kh,6c,Kd,4d,5s",Four of a Kind
"Td,Tc","7d,Ad","7h,Qc","Ac,Ts,Th,Kc,8d",Four of a Kind
"8c,8h","3h,Ah","5s,Qs","Jd,8s,As,2h,8d",Four of a Kind
"8c,8d","Qh,Qc","7c,Ah","8h,Kh,8s,Ks,6d",Four of a Kind
"7c,Ad","8c,8s","4d,Kd","9s,7d,7s,3c,7h",Four of a Kind
"Qd,Qc","Kd,Kh","9h,Jd","2c,2h,8c,Qs,Qh",Four of a Kind
"8h,Kh","7s,7c","4s,As","8c,Ts,2c,8d,8s",Four of a Kind
"7c,As","Th,Td","8h,Kd","Ad,Qs,Ac,Ah,5h",Four of a Kind
"5h,5d","Qd,Qc","Th,Jd","3d,5c,5s,7s,7c",Four of a Kind
"Ah,As","7s,7c","8c,Qs","Ac,Ad,2h,5d,6d",Four of a Kind
"Th,Td","8s,Ac","8d,Kd","Ts,Qc,As,2d,Tc",Four of a Kind
"6h,6c","Td,Qd","4c,4h","6s,Qs,8c,6d,2s",Four of a Kind
